asistencia;inscripcion;idEgresado;idEvento;idFechaInicio;idFechaFin;idUnidadAcademica;idPerfilPractica;idPerfilPersonal;idPerfilGrado
0;1;-1;152;64;64;2;-1;-1;-1
0;1;-1;107;91;91;16;-1;-1;-1
0;1;-1;301;215;215;3;-1;-1;-1
0;1;-1;191;154;154;1;-1;-1;-1
0;1;-1;671;5;5;2;-1;-1;-1
0;1;-1;54;40;40;2;-1;-1;-1
1;1;-1;305;217;217;2;-1;-1;-1
0;1;-1;998;5;5;2;-1;-1;-1
0;1;-1;1002;5;5;2;-1;-1;-1
0;1;-1;535;314;314;2;-1;-1;-1
0;1;-1;572;363;363;6;-1;-1;-1
0;1;-1;317;224;224;3;-1;-1;-1
0;1;-1;659;192;192;3;-1;-1;-1
0;1;-1;313;221;221;3;-1;-1;-1
1;1;-1;277;203;203;2;-1;-1;-1
0;1;-1;146;123;123;1;-1;-1;-1
1;1;-1;214;27;27;3;-1;-1;-1
0;1;-1;135;26;26;1;-1;-1;-1
1;1;-1;384;264;264;3;-1;-1;-1
0;1;-1;684;317;317;2;-1;-1;-1
1;1;-1;567;360;360;3;-1;-1;-1
0;1;-1;413;115;115;1;-1;-1;-1
0;1;-1;573;364;364;32;-1;-1;-1
1;1;-1;666;187;187;53;-1;-1;-1
0;1;-1;147;73;73;5;-1;-1;-1
0;1;-1;648;69;69;27;-1;-1;-1
0;1;-1;275;153;153;5;-1;-1;-1
1;1;-1;444;29;29;5;-1;-1;-1
0;1;-1;162;129;129;5;-1;-1;-1
0;1;-1;926;483;483;2;-1;-1;-1
0;1;-1;113;76;76;18;-1;-1;-1
0;1;-1;855;460;460;3;-1;-1;-1
0;1;-1;122;105;105;2;-1;-1;-1
1;1;-1;92;79;79;2;-1;-1;-1
1;1;-1;680;29;29;2;-1;-1;-1
1;1;-1;300;83;83;3;-1;-1;-1
0;1;-1;6;6;6;3;-1;-1;-1
0;1;-1;500;329;329;15;-1;-1;-1
0;1;-1;585;183;183;1;-1;-1;-1
0;1;-1;116;99;99;1;-1;-1;-1
0;1;-1;303;216;216;2;-1;-1;-1
0;1;-1;375;216;216;3;-1;-1;-1
0;1;-1;415;204;204;2;-1;-1;-1
0;1;-1;279;204;204;19;-1;-1;-1
0;1;-1;257;193;193;3;-1;-1;-1
1;1;-1;25;27;27;2;-1;-1;-1
0;1;-1;918;178;178;2;-1;-1;-1
0;1;-1;379;261;261;8;-1;-1;-1
0;1;-1;235;180;180;8;-1;-1;-1
0;1;-1;132;114;114;1;-1;-1;-1
0;1;-1;827;180;180;2;-1;-1;-1
0;1;-1;244;186;186;1;-1;-1;-1
0;1;-1;854;459;459;6;-1;-1;-1
1;1;-1;1;1;1;1;-1;-1;-1
0;1;-1;156;129;129;2;-1;-1;-1
0;1;-1;185;129;129;6;-1;-1;-1
0;1;-1;813;445;445;27;-1;-1;-1
1;1;-1;585;183;183;1;-1;-1;-1
0;1;-1;372;231;231;41;-1;-1;-1
0;1;-1;70;60;60;11;-1;-1;-1
0;1;-1;221;175;175;1;-1;-1;-1
0;1;-1;696;398;398;3;-1;-1;-1
0;1;-1;518;337;337;3;-1;-1;-1
0;1;-1;194;158;158;1;-1;-1;-1
1;1;-1;367;253;253;2;-1;-1;-1
0;1;-1;30;28;28;7;-1;-1;-1
0;1;-1;186;151;151;23;-1;-1;-1
0;1;-1;758;124;124;2;-1;-1;-1
0;1;-1;295;62;62;2;-1;-1;-1
0;1;-1;203;163;163;6;-1;-1;-1
0;1;-1;195;159;159;27;-1;-1;-1
0;1;-1;623;216;216;2;-1;-1;-1
0;1;-1;215;171;171;1;-1;-1;-1
0;1;-1;250;190;190;1;-1;-1;-1
0;1;-1;74;65;65;9;-1;-1;-1
0;1;-1;120;103;103;5;-1;-1;-1
0;1;-1;169;17;17;26;-1;-1;-1
0;1;-1;424;133;133;42;-1;-1;-1
0;1;-1;225;176;176;1;-1;-1;-1
0;1;-1;333;20;20;27;-1;-1;-1
0;1;-1;432;154;154;1;-1;-1;-1
1;1;-1;253;191;191;2;-1;-1;-1
0;1;-1;640;321;321;2;-1;-1;-1
0;1;-1;670;76;76;2;-1;-1;-1
0;1;-1;89;37;37;3;-1;-1;-1
0;1;-1;817;97;97;31;-1;-1;-1
0;1;-1;370;255;255;3;-1;-1;-1
0;1;-1;362;216;216;3;-1;-1;-1
0;1;-1;520;120;120;2;-1;-1;-1
0;1;-1;339;235;235;5;-1;-1;-1
0;1;-1;475;319;319;1;-1;-1;-1
0;1;-1;77;68;68;3;-1;-1;-1
1;1;-1;179;146;146;3;-1;-1;-1
1;1;-1;63;55;55;1;-1;-1;-1
0;1;-1;42;42;42;3;-1;-1;-1
0;1;1328;633;353;353;2;-1;6223;-1
0;1;1328;552;355;355;6;-1;6223;-1
0;1;1328;693;209;209;8;-1;6223;-1
0;1;-1;151;126;126;2;-1;-1;-1
0;1;-1;858;348;348;1;-1;-1;-1
0;1;-1;537;347;347;1;-1;-1;-1
0;1;-1;138;118;118;2;-1;-1;-1
1;1;-1;336;48;48;3;-1;-1;-1
1;1;-1;438;300;300;2;-1;-1;-1
1;1;-1;1000;435;435;2;-1;-1;-1
1;1;-1;511;335;335;2;-1;-1;-1
0;1;-1;11;12;12;2;-1;-1;-1
0;1;-1;124;107;107;2;-1;-1;-1
0;1;-1;595;359;359;6;-1;-1;-1
0;1;-1;548;310;310;5;-1;-1;-1
1;1;-1;706;199;199;1;-1;-1;-1
0;1;-1;627;139;139;2;-1;-1;-1
1;1;-1;388;267;267;13;-1;-1;-1
1;1;-1;389;268;268;2;-1;-1;-1
0;1;-1;586;183;183;1;-1;-1;-1
1;1;-1;385;265;265;2;-1;-1;-1
0;1;1185;1020;106;106;2;-1;6109;-1
0;1;1185;246;188;188;34;-1;6109;-1
0;1;1185;303;216;216;2;-1;6109;-1
0;1;-1;109;94;93;2;-1;-1;-1
0;1;-1;443;304;304;1;-1;-1;-1
0;1;-1;781;304;304;2;-1;-1;-1
0;1;-1;519;209;209;47;-1;-1;-1
