id;paisResidenciaActual;estadoResidenciaActual;ciudadResidenciaActual;empresaActual;cargoActual;donante;profesor;fechaActualizacion;fechaExpiracion
6592;COLOMBIA;BOLIVAR;CARTAGENA;NA;NA;0;0;5/20/2015;01/01/2999
5014; Colombia; Cundinamarca; Bogot? D.C.; organizacion  Internacional Para  Las Migraciones; enlace;D;D;01/01/2013;01/01/2099
985; Colombia; Cundinamarca; Bogot? D.C.; Smithsonian Tropical Research Institution (STRI); asistente De Investigaci?n;D;D;01/01/2009;01/01/2099
132; Colombia; Cundinamarca; Bogot? D.C.; Esinco S.A; Ingeniero De Proyectos;D;D;01/08/2009;01/01/2099
4667;NA;NA;NA; Uniandes; Asistente De Investigaci?n;D;D;01/01/2013;01/01/2099
356; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Asistente De Coordinaci?n De Microbiolog?a;D;D;01/08/2009;01/01/2099
5354;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;PROFESIONAL;0;0;11/25/2015;01/01/2999
7242;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;12/2/2010;01/01/2999
2187; Colombia; Cundinamarca; Bogot? D.C.; Thedow Tecnical Compa?y; Account Manager;D;D;01/08/2011;01/01/2099
2455; Colombia; Cundinamarca; Bogot? D.C.; Ministerio De Relaciones Exteriores; Asesor De La Direcion;D;D;01/08/2011;01/01/2099
874; Colombia; Cundinamarca; Bogot? D.C.; ROBERTO COMPA?IA; GERENTE COMERCIAL;D;D;01/01/2009;01/01/2099
2266; Colombia; Cundinamarca; Bogot? D.C.; Independiente; Asesor De Publicidad;D;D;01/08/2011;01/01/2099
2657; Colombia; Cundinamarca; Bogot? D.C.; EMERQUINCA; COORDINADO RIESGOS QUIMICOS;D;D;01/01/2011;01/01/2099
734; Colombia; Cundinamarca; Bogot? D.C.; ALMACENES MAXIMO S.A. PEPE GANGA; DIRECTOR JURIDICO;D;D;01/01/2009;01/01/2099
6825;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;PROFESIONAL;0;0;12/10/2014;01/01/2999
6902;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;NA;NA;0;0;11/7/2013;01/01/2999
3950; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Coordinadora Editorial;D;D;01/01/2012;01/01/2099
1994; Francia; Paris; Paris;NA;NA;D;D;01/01/2010;01/01/2099
2881; Colombia; Cundinamarca; Bogot? D.C.; Jacobs International SAS; Asistente De Ingenier?a;D;D;01/01/2011;01/01/2099
3294; Colombia; Valle; Cali; Colgate Palmolive; Aseguramiento De Calidad;D;D;01/08/2012;01/01/2099
4235; Colombia; Cundinamarca; Bogot? D.C.; Cine  Colombia; Distribucion De Peliculas;D;D;01/08/2013;01/01/2099
3047; Colombia; Cundinamarca; Bogot? D.C.; DIJO DISE?O LTDA; DIRECTOR DE PROYECTOS;D;D;01/08/2012;01/01/2099
2513;NA; Cundinamarca; Bogot? D.C.; AUTOREGULADOAR DE MERCADOP DE VALORES; ECONOMISTA;D;D;01/01/2011;01/01/2099
