id;beneficiarioQE;gradoEgresado;nivelGrado;semestreGrado
3155;0;Magíster en Matemáticas;Maestría;2010-10
156;0;Microbi?logo;Pregrado;2017-20
1461;1;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2013-20
1535;0;Especialista en Negociación;Especialización;2011-10
757;0;Especialista en Inteligencia de Mercados;Especialización;2010-20
167;0;Economista;Pregrado;2017-10
1207;0;Psicólogo;Pregrado;1990-20
1875;0;Magíster en Ciencias-Química;Maestría;2016-10
1364;0;Administrador de Empresas;Pregrado;2005-20
3135;0;LicenciadO en Lenguas Modernas;Pregrado;1972-20
2861;0;Magíster en Matemáticas;Maestría;2010-20
2541;0;Magíster en Ciencias-Física;Maestría;2003-20
2560;0;Músico con Enfasis en Instrumento - Canto;Pregrado;2010-10
2;0;Microbi?logo;Pregrado;2017-10
3224;0;Maestro en Arte. Concentraciones: Artes Plásticas e Historia y Teoría del Arte;Pregrado;2009-20
2012;0;Licenciado en Bacteriología y Ciencias Naturales;Pregrado;1962-20
1824;0;Antropólogo;Pregrado;1988-20
2347;0;Diseñador Industrial;Pregrado;2015-10
1505;D;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2015-20
3109;0;Especialista en Tributación;Especialización;2012-10
1315;0;Especialista en Finanzas;Especialización;1987-20
1671;0;Maestro en Arte. Concentración: Proyectos Culturales;Pregrado;2013-10
2155;0;Politólogo;Pregrado;1992-20
112;0;Mag?ster en Psicolog?a Cl?nica y de la Salud;Maestr?a;2017-10
2142;0;Licenciado en Bacteriología y Ciencias Naturales;Pregrado;1974-10
1962;0;Magíster en Filosofía;Maestría;2014-10
1067;0;Maestro en Arte. Concentración: Artes Plásticas;Pregrado;2013-10
2965;0;Matemático;Pregrado;2010-10
3181;0;Magíster en Administración;Maestría;2001-10
2431;0;Diseñador Industrial;Pregrado;2003-20
2294;0;Filósofo;Pregrado;2003-10
2695;0;ESTUDIOS MUSICALES;Intermedio;1985-20
3174;0;Biólogo;Pregrado;2006-10
1154;0;Antropólogo;Pregrado;1988-10
952;0;Especialista en Tributación;Especialización;2012-20
2886;0;Matemático;Pregrado;2009-20
1442;0;Magíster en Ciencias Biológicas. Area: Microbiología;Maestría;2016-20
2680;0;Músico con Enfasis en Instrumento - Contrabajo;Pregrado;2002-10
1966;0;Magíster en Filosofía;Maestría;2014-20
1090;0;Psicólogo;Pregrado;2003-10
3185;0;Magíster en Administración;Maestría;2001-20
1199;0;Especialista en Terapia de Pareja;Especialización;1991-20
2465;0;Politólogo;Pregrado;1992-10
773;0;Arquitecto;Pregrado;2014-20
1202;0;Especialista en Historia y Teoría del Arte Moderno y Contemporáneo;Especialización;2010-10
