id;edadEgresado;generoEgresado;celularPrincipalEgresado;emailEgresado;nivelVinculacionEgresado;indiceRelacionamiento;indiceRelacionamientoEstandarizado;idPerfilPractica;idPerfilPersonal;idPerfilGrado
9193;-1;M;1;1;Baja;0.0;0.0;-1;19294;-1
6532;36;F;1;1;Baja;0.0;0.0;-1;16881;-1
39913;28;F;1;1;Media;0.0;0.0;-1;47726;-1
37313;27;M;1;1;Alta;0.0;0.0;-1;45310;-1
4447;34;M;1;1;Media;0.0;0.0;237;-1;-1
27894;39;M;1;1;Alta;0.0;0.0;-1;36608;-1
35096;46;F;1;1;Media;0.0;0.0;-1;43269;-1
35599;38;M;1;1;Alta;0.0;0.0;-1;43741;-1
33275;46;F;1;1;Baja;0.0;0.0;-1;41591;-1
18842;47;M;1;1;Alta;0.3;0.6;-1;28171;-1
17423;65;M;1;1;Baja;0.0;0.0;-1;26880;-1
20092;48;M;1;1;Baja;0.0;0.0;-1;29319;-1
31138;56;M;1;1;Baja;0.0;0.0;-1;39610;-1
26669;37;M;1;1;Baja;0.0;0.0;-1;35457;-1
33164;36;M;1;1;Alta;0.0;0.0;-1;41489;-1
30249;54;M;1;1;Alta;0.2;0.4;1149;-1;-1
38011;34;M;1;1;Media;0.0;0.0;-1;45953;-1
26312;42;M;1;1;Alta;0.0;0.0;-1;35121;-1
10846;26;M;1;1;Alta;0.0;0.0;-1;20817;-1
6365;57;F;0;1;Baja;0.0;0.0;-1;16726;-1
31761;29;M;1;1;Alta;0.0;0.0;-1;40186;-1
5426;34;F;1;1;Baja;0.0;0.0;-1;15870;-1
5579;64;F;1;1;Alta;0.3;0.6;-1;16009;-1
18073;26;M;1;1;Alta;0.0;0.0;-1;27474;-1
10529;37;F;1;1;Baja;0.0;0.0;-1;20527;-1
16500;52;F;1;1;Alta;0.3;0.6;-1;26024;-1
19357;25;M;1;1;Alta;0.2;0.4;-1;28640;-1
28083;40;F;1;1;Baja;0.0;0.0;-1;36784;-1
28363;57;M;1;1;Baja;0.0;0.0;-1;37050;-1
4438;57;M;1;1;Baja;0.0;0.0;-1;-1;-1
21363;36;M;1;1;Baja;0.0;0.0;-1;30508;-1
27562;43;M;1;1;Baja;0.0;0.0;-1;36299;-1
34293;32;F;1;1;Baja;0.0;0.0;-1;42540;-1
40576;25;M;1;1;Alta;0.0;0.0;-1;48313;-1
31654;58;F;1;1;Baja;0.0;0.0;-1;40090;-1
31125;49;F;1;1;Alta;0.0;0.0;-1;39600;-1
4863;-1;M;1;1;Media;0.0;0.0;-1;15375;-1
19064;57;M;1;1;Alta;0.0;0.0;-1;28377;-1
14597;30;M;1;1;Alta;0.0;0.0;-1;24278;-1
19260;37;M;1;1;Media;0.0;0.0;-1;28551;-1
23182;50;M;1;1;Media;0.0;0.0;-1;32213;-1
39050;32;F;1;1;Baja;0.0;0.0;-1;46926;-1
