llave anónima vde,llave ctp
3942875,161805175130020000
3942947,162110000515415000
3943067,161786852350388000
3943161,161965358580640000
3943210,161805664266559000
3943372,161623422007512000
3943498,162275059143094000
3943617,162107681381464000
3943660,161787198266106000
3943830,162269406628633000
3944908,161806072953578000
3944949,161804388329702000
3945144,161804624852296000
3945752,161152357047131000
3945804,161806731037301000
3945858,161641211261838000
3946185,161948489959211000
3946334,161963658639680000
3946354,161965627416817000
3946518,161949702075343000
3946547,161806465551042000
3946692,161642981878504000
3946752,161948576883722000
3946839,161947269799079000
3947027,161809612783990000
3947147,161809949069893000
3947209,161964899788877000
3947336,161947274628200000
3947359,161961862120861000
3947452,161480034118575000
3947507,161647381927034000
3948122,161468390445040000
3948791,161466407011854000
3949149,162130527184540000
3949192,161967704063069000
3949347,161463308122801000
3949478,161807632083202000
3949521,161804462343557000
3949759,161783159924255000
3950031,161962330567012000
3950140,161792245459829000
3950484,161641619741117000
3950525,161945924086903000
3950988,161785331934525000
3951034,161947652909549000
3951229,161950809563903000
3951271,161808095479213000
3951333,161802957934843000
3951694,161963629663491000
3951935,161964952912100000
3952011,161963974158350000
3952408,161782501888466000
3952593,161623619803458000
3952636,161301157828908000
3952676,161807382686317000
3953066,161810003776724000
3953387,161805065718000000
3953780,161783089133055000
3954312,161801653046961000
3954377,161806470378062000
3954411,161480212538152000
3954721,161953431815722000
3955154,161963644151585000
3955183,161782714261728000
3955429,161964312214410000
3955629,161948644491692000
3955940,161805176739020000
3956088,161804389938699000
3957014,161966379193419000
3957656,162106777890020000
3957689,161792185929192000
3957850,161809504979492000
3958286,161790585041856000
3959166,161623486331384000
3959656,161809546814069000
3959795,161785402726216000
3960370,161968164468615000
3960390,161962093929181000
3960437,161948525372898000
3960591,161951419650062000
3960651,161787116211647000
3960810,161786437252015000
3960986,161947662567802000
3961243,161480283263057000
3962024,161808373838941000
3962088,161626977528702000
3962238,161470582844033000
3962365,161809691626109000
3962413,161792549548927000
3963110,161953439864410000
3963255,161945901551101000
3963418,161806246726167000
3963578,161968046952452000
3963695,161964882081138000
3963736,161624629690333000
3963757,161786348762121000
3963889,161804352931778000
3963952,162107534825640000
3964328,161964883690932000
3964534,161625699080352000
3964655,161948931020864000
3965692,161480370061825000
3965825,162112682034725000
3966062,161319099637340000
3966248,161622482880448000
3966410,161785335152328000
3966827,162126069026202000
3967027,161626276391622000
3967336,161782608075080000
3967646,161623870666782000
3967908,161808121223455000
3968388,161965371459015000
3968564,161803532344618000
3968666,161806714947219000
3968733,161805965150259000
3968813,161963632883067000
3968863,161965373068812000
